#,File Name,True,Pred,Prob,Type,Set
1,C_D_0027_no_fall_seq_002.npy,no_fall,fall,0.9999,FP,val
2,B_M_196_no_fall_seq_000.npy,no_fall,fall,0.7285,FP,val
3,B_D_0251_no_fall_seq_005.npy,no_fall,fall,0.9839,FP,val
4,C_M_65_no_fall_seq_000.npy,no_fall,fall,0.8740,FP,val
5,B_N_466_resized_no_fall_seq_000.npy,no_fall,fall,0.9965,FP,val
6,S_M_129_resized_no_fall_seq_000.npy,no_fall,fall,0.7153,FP,val
7,B_N_327_no_fall_seq_004.npy,no_fall,fall,0.8230,FP,val
8,B_N_318_no_fall_seq_004.npy,no_fall,fall,0.7234,FP,val
9,B_D_0176_no_fall_seq_001.npy,no_fall,fall,0.6954,FP,val
10,B_M_108_no_fall_seq_001.npy,no_fall,fall,0.9872,FP,val
11,S_D_0146_resized_no_fall_seq_002.npy,no_fall,fall,0.9811,FP,val
12,S_D_0032_resized_no_fall_seq_000.npy,no_fall,fall,0.9883,FP,val
13,B_M_209_no_fall_seq_004.npy,no_fall,fall,0.8897,FP,val
14,B_D_0210_no_fall_seq_002.npy,no_fall,fall,0.7358,FP,val
15,B_D_0012_no_fall_seq_000.npy,no_fall,fall,0.5338,FP,val
16,B_N_396_no_fall_seq_000.npy,no_fall,fall,0.9823,FP,val
17,C_M_146_resized_no_fall_seq_000.npy,no_fall,fall,0.9939,FP,val
18,L0006_no_fall_seq_000.npy,no_fall,fall,0.9999,FP,val
19,B_D_0159_no_fall_seq_003.npy,no_fall,fall,0.5132,FP,val
20,B_M_162_no_fall_seq_000.npy,no_fall,fall,0.9927,FP,val
21,B_N_327_no_fall_seq_005.npy,no_fall,fall,0.8213,FP,val
22,B_M_165_no_fall_seq_002.npy,no_fall,fall,0.9870,FP,val
23,S_D_0037_resized_no_fall_seq_002.npy,no_fall,fall,0.9153,FP,val
24,B_N_260_resized_no_fall_seq_000.npy,no_fall,fall,0.9972,FP,val
25,C_D_0054_no_fall_seq_000.npy,no_fall,fall,0.9118,FP,val
26,B_D_0243_no_fall_seq_003.npy,no_fall,fall,0.9341,FP,val
27,B_N_512_resized_no_fall_seq_001.npy,no_fall,fall,0.9870,FP,val
28,S_N_143_no_fall_seq_001.npy,no_fall,fall,0.9938,FP,val
29,S_N_60_no_fall_seq_000.npy,no_fall,fall,0.5790,FP,val
30,C_N_114_resized_no_fall_seq_002.npy,no_fall,fall,0.5440,FP,val
31,B_N_514_no_fall_seq_000.npy,no_fall,fall,0.9596,FP,val
32,B_M_88_resized_no_fall_seq_000.npy,no_fall,fall,0.6081,FP,val
33,B_N_259_resized_no_fall_seq_000.npy,no_fall,fall,0.7018,FP,val
34,S_D_0183_no_fall_seq_001.npy,no_fall,fall,0.9454,FP,val
35,C_D_0048_no_fall_seq_000.npy,no_fall,fall,0.6851,FP,val
36,B_N_269_resized_no_fall_seq_000.npy,no_fall,fall,0.9666,FP,val
37,B_N_169_resized_no_fall_seq_000.npy,no_fall,fall,0.6623,FP,val
38,B_D_0174_resized_no_fall_seq_001.npy,no_fall,fall,0.6644,FP,val
39,B_M_211_no_fall_seq_002.npy,no_fall,fall,0.9454,FP,val
40,S_D_0215_no_fall_seq_001.npy,no_fall,fall,0.5079,FP,val
41,B_N_393_no_fall_seq_000.npy,no_fall,fall,0.9950,FP,val
42,B_N_38_no_fall_seq_001.npy,no_fall,fall,0.9094,FP,val
43,B_N_157_resized_no_fall_seq_000.npy,no_fall,fall,0.9739,FP,val
44,B_M_159_no_fall_seq_002.npy,no_fall,fall,0.8687,FP,val
45,S_D_0038_resized_no_fall_seq_002.npy,no_fall,fall,0.9330,FP,val
46,C_N_227_resized_no_fall_seq_000.npy,no_fall,fall,0.9134,FP,val
47,B_D_0217_no_fall_seq_001.npy,no_fall,fall,0.9978,FP,val
48,B_N_332_no_fall_seq_004.npy,no_fall,fall,0.7103,FP,val
49,C_N_420_no_fall_seq_000.npy,no_fall,fall,0.5175,FP,val
50,C_D_0180_no_fall_seq_003.npy,no_fall,fall,0.6987,FP,val
51,C0296_no_fall_seq_000.npy,no_fall,fall,0.9841,FP,val
52,B_N_262_resized_no_fall_seq_001.npy,no_fall,fall,0.9895,FP,val
53,C_N_419_no_fall_seq_001.npy,no_fall,fall,0.8752,FP,val
54,B_M_84_no_fall_seq_000.npy,no_fall,fall,0.9158,FP,val
55,B_N_09_no_fall_seq_002.npy,no_fall,fall,0.9925,FP,val
56,B_D_0254_no_fall_seq_000.npy,no_fall,fall,0.9915,FP,val
57,B_N_369_no_fall_seq_000.npy,no_fall,fall,0.6109,FP,val
58,C_D_0163_resized_no_fall_seq_004.npy,no_fall,fall,0.5212,FP,val
59,S_D_0093_resized_no_fall_seq_000.npy,no_fall,fall,0.9953,FP,val
60,C_M_229_resized_no_fall_seq_001.npy,no_fall,fall,0.8993,FP,val
61,B_D_0166_no_fall_seq_000.npy,no_fall,fall,0.5224,FP,val
62,B_N_314_no_fall_seq_003.npy,no_fall,fall,0.9951,FP,val
63,B_N_243_no_fall_seq_002.npy,no_fall,fall,0.9955,FP,val
64,B_M_108_no_fall_seq_000.npy,no_fall,fall,1.0000,FP,val
65,C0162_no_fall_seq_000.npy,no_fall,fall,0.7638,FP,val
66,B_D_0088_resized_no_fall_seq_000.npy,no_fall,fall,0.9967,FP,val
67,S_D_0036_resized_no_fall_seq_001.npy,no_fall,fall,0.8437,FP,val
68,S_M_88_no_fall_seq_000.npy,no_fall,fall,0.9870,FP,val
69,B_M_198_resized_no_fall_seq_002.npy,no_fall,fall,0.8036,FP,val
70,B_N_454_no_fall_seq_000.npy,no_fall,fall,0.9877,FP,val
71,C_N_27_no_fall_seq_000.npy,no_fall,fall,0.7873,FP,val
72,B_N_218_no_fall_seq_000.npy,no_fall,fall,0.9950,FP,val
73,B_N_532_no_fall_seq_001.npy,no_fall,fall,0.7453,FP,val
74,B_N_510_resized_no_fall_seq_002.npy,no_fall,fall,0.7315,FP,val
75,B_N_369_no_fall_seq_002.npy,no_fall,fall,1.0000,FP,val
76,B_N_237_no_fall_seq_001.npy,no_fall,fall,0.9958,FP,val
77,20240913125636_fall_seq_000.npy,fall,no_fall,0.0013,FN,val
