#,File Name,True,Pred,Prob,Type,Set
1,C_D_0027_no_fall_seq_002.npy,no_fall,fall,0.9999,FP,val
2,B_D_0176_no_fall_seq_001.npy,no_fall,fall,0.9938,FP,val
3,B_M_108_no_fall_seq_001.npy,no_fall,fall,0.9985,FP,val
4,S_D_0146_resized_no_fall_seq_002.npy,no_fall,fall,1.0000,FP,val
5,S_D_0032_resized_no_fall_seq_000.npy,no_fall,fall,0.9688,FP,val
6,B_D_0210_no_fall_seq_002.npy,no_fall,fall,0.9825,FP,val
7,S_N_149_no_fall_seq_001.npy,no_fall,fall,0.9975,FP,val
8,B_N_396_no_fall_seq_000.npy,no_fall,fall,0.8064,FP,val
9,C_M_146_resized_no_fall_seq_000.npy,no_fall,fall,0.6638,FP,val
10,S_N_377_resized_no_fall_seq_001.npy,no_fall,fall,0.5424,FP,val
11,C_D_0067_no_fall_seq_009.npy,no_fall,fall,0.7847,FP,val
12,L0006_no_fall_seq_000.npy,no_fall,fall,0.9997,FP,val
13,C_D_0162_resized_no_fall_seq_005.npy,no_fall,fall,0.9422,FP,val
14,R0147_no_fall_seq_000.npy,no_fall,fall,0.9680,FP,val
15,C_M_187_resized_no_fall_seq_000.npy,no_fall,fall,0.9763,FP,val
16,B_M_165_no_fall_seq_002.npy,no_fall,fall,0.9990,FP,val
17,B_N_456_no_fall_seq_001.npy,no_fall,fall,0.7228,FP,val
18,B_N_512_resized_no_fall_seq_001.npy,no_fall,fall,0.5798,FP,val
19,S_N_143_no_fall_seq_001.npy,no_fall,fall,0.9919,FP,val
20,B_N_514_no_fall_seq_000.npy,no_fall,fall,0.9824,FP,val
21,B_D_0182_no_fall_seq_000.npy,no_fall,fall,0.9549,FP,val
22,B_N_259_resized_no_fall_seq_000.npy,no_fall,fall,0.9663,FP,val
23,B_N_269_resized_no_fall_seq_000.npy,no_fall,fall,0.9971,FP,val
24,C_D_0068_no_fall_seq_000.npy,no_fall,fall,0.8330,FP,val
25,C_N_176_resized_no_fall_seq_000.npy,no_fall,fall,0.9071,FP,val
26,B_N_393_no_fall_seq_000.npy,no_fall,fall,0.9372,FP,val
27,B_N_157_resized_no_fall_seq_000.npy,no_fall,fall,0.9983,FP,val
28,S_D_0038_resized_no_fall_seq_002.npy,no_fall,fall,0.9565,FP,val
29,B_D_0258_no_fall_seq_000.npy,no_fall,fall,0.8055,FP,val
30,B_D_0217_no_fall_seq_001.npy,no_fall,fall,0.9456,FP,val
31,B_M_202_no_fall_seq_000.npy,no_fall,fall,0.9901,FP,val
32,S_N_377_resized_no_fall_seq_000.npy,no_fall,fall,0.6953,FP,val
33,C_D_0180_no_fall_seq_003.npy,no_fall,fall,0.9999,FP,val
34,B_N_262_resized_no_fall_seq_001.npy,no_fall,fall,0.7152,FP,val
35,B_N_09_no_fall_seq_002.npy,no_fall,fall,0.9232,FP,val
36,B_D_0254_no_fall_seq_000.npy,no_fall,fall,0.9985,FP,val
37,S_D_0093_resized_no_fall_seq_000.npy,no_fall,fall,0.9492,FP,val
38,B_M_108_no_fall_seq_000.npy,no_fall,fall,0.9990,FP,val
39,S_D_0146_resized_no_fall_seq_000.npy,no_fall,fall,0.5341,FP,val
40,C0343_no_fall_seq_000.npy,no_fall,fall,0.6190,FP,val
41,B_N_218_no_fall_seq_000.npy,no_fall,fall,0.6325,FP,val
42,C_M_110_no_fall_seq_001.npy,no_fall,fall,0.7142,FP,val
43,C_D_0178_no_fall_seq_005.npy,no_fall,fall,0.9458,FP,val
44,B_N_369_no_fall_seq_002.npy,no_fall,fall,0.9999,FP,val
45,B_N_237_no_fall_seq_001.npy,no_fall,fall,0.9999,FP,val
46,C_D_0232_no_fall_seq_000.npy,no_fall,fall,0.9941,FP,val
47,S_N_489_resized_fall_seq_000.npy,fall,no_fall,0.0294,FN,val
48,20240917125602_fall_seq_000.npy,fall,no_fall,0.0013,FN,val
49,C_N_476_resized_fall_seq_000.npy,fall,no_fall,0.0278,FN,val
50,20240913125636_fall_seq_000.npy,fall,no_fall,0.0018,FN,val
51,C_N_553_resized_fall_seq_010.npy,fall,no_fall,0.0001,FN,val
52,C_M_63_fall_seq_000.npy,fall,no_fall,0.4165,FN,val
53,S_N_476_resized_fall_seq_000.npy,fall,no_fall,0.1496,FN,val
54,S_D_0104_resized_fall_seq_004.npy,fall,no_fall,0.2135,FN,val
55,C_M_173_fall_seq_000.npy,fall,no_fall,0.0008,FN,val
56,S_D_0188_fall_seq_005.npy,fall,no_fall,0.1847,FN,val
57,S_D_0238_resized_fall_seq_006.npy,fall,no_fall,0.0001,FN,val
58,C_M_110_fall_seq_024.npy,fall,no_fall,0.3858,FN,val
59,20240917153701_fall_seq_000.npy,fall,no_fall,0.1536,FN,val
60,C_N_552_resized_fall_seq_000.npy,fall,no_fall,0.0554,FN,val
